minute,time,heart_rate_bpm,spo2_pct,skin_temp_c,ambient_temp_c,humidity_pct,wbgt_c,pm25_ugm3,activity_index,sleep_stage,hrv_ms,resp_rate_bpm,steps,noise_db,lat,lon
0,00:00,69.6,98.3,33.29,28.6,49.8,25.1,47.5,0.063,Light,63.6,14.2,1,47.3,12.9705,79.14987
5,00:05,68.6,97.0,33.31,28.0,51.6,24.2,52.6,0.083,Light,61.8,13.4,5,42.1,12.97064,79.15008
10,00:10,66.2,97.6,33.26,29.1,49.2,25.6,37.5,0.062,Light,61.1,14.2,4,42.7,12.97048,79.15008
15,00:15,63.3,97.8,33.0,28.6,50.9,25.3,59.8,0.056,Light,62.1,12.8,1,48.6,12.97047,79.14993
20,00:20,65.1,98.0,33.42,29.4,49.3,25.9,53.7,0.1,Light,59.1,13.9,3,41.4,12.9705,79.14995
25,00:25,68.6,98.8,32.88,27.6,53.9,24.4,48.1,0.091,Deep,67.4,14.1,0,46.4,12.97049,79.14997
30,00:30,70.4,95.9,33.12,28.4,48.4,24.7,40.4,0.087,Deep,72.1,12.3,2,47.9,12.97046,79.15001
35,00:35,66.5,97.7,33.23,29.3,49.3,25.5,49.3,0.07,Deep,66.6,13.7,1,47.0,12.97073,79.1501
40,00:40,71.2,97.9,32.86,28.7,49.1,25.2,37.0,0.107,Deep,69.3,15.3,2,43.0,12.97041,79.14997
45,00:45,69.2,97.2,33.07,28.4,50.1,25.0,50.6,0.085,Deep,72.0,14.4,8,47.8,12.97045,79.15009
50,00:50,65.0,98.3,33.37,28.5,46.6,25.3,54.4,0.058,Deep,67.8,13.3,1,46.8,12.97047,79.14993
55,00:55,70.7,97.8,33.16,28.4,48.4,24.8,41.6,0.069,Deep,71.3,14.0,3,43.3,12.97054,79.15009
60,01:00,65.7,97.3,33.46,29.0,49.0,25.6,42.6,0.054,Light,60.9,13.3,7,43.7,12.97043,79.15001
65,01:05,67.0,96.8,33.27,28.0,52.0,24.7,42.4,0.058,Light,61.7,13.3,0,45.2,12.9704,79.15003
70,01:10,66.8,98.1,33.32,28.5,48.9,25.2,49.9,0.084,Light,62.7,15.1,0,42.9,12.97038,79.14998
75,01:15,68.9,97.3,32.91,28.0,51.4,24.4,46.5,0.057,REM,60.6,13.0,0,46.5,12.97042,79.15
80,01:20,72.3,98.1,33.15,28.7,50.8,25.1,56.5,0.101,REM,64.3,13.1,0,46.5,12.97053,79.15007
85,01:25,66.9,96.6,32.94,28.1,47.6,24.8,55.5,0.054,REM,66.7,13.5,0,44.2,12.97058,79.15005
90,01:30,67.6,98.0,33.12,28.2,48.0,24.2,45.9,0.053,Light,60.7,12.5,2,45.7,12.97038,79.14998
95,01:35,67.1,97.8,32.85,28.8,49.2,24.9,45.2,0.064,Light,67.6,14.7,5,47.7,12.97048,79.15001
100,01:40,67.7,97.6,33.2,28.8,49.1,25.5,52.4,0.085,Light,58.7,13.8,0,46.1,12.97057,79.15001
105,01:45,71.8,97.3,33.24,28.0,51.1,25.2,49.6,0.076,Light,64.2,12.8,0,42.5,12.97042,79.15003
