minute,time,heart_rate_bpm,spo2_pct,skin_temp_c,ambient_temp_c,humidity_pct,wbgt_c,pm25_ugm3,activity_index,sleep_stage,hrv_ms,resp_rate_bpm,steps,noise_db,lat,lon
0,00:00,69.1,97.9,32.77,26.0,65.0,23.3,16.7,0.077,Light,59.6,13.6,0,42.6,12.97043,79.15016
5,00:05,71.7,97.7,32.87,26.1,58.0,22.7,15.6,0.073,Light,60.3,13.8,0,46.9,12.97054,79.14998
10,00:10,67.0,96.7,32.79,26.3,61.1,23.2,26.8,0.07,Light,64.9,13.4,6,43.7,12.97048,79.15008
15,00:15,63.2,97.2,33.02,25.4,60.4,22.3,20.7,0.06,Light,61.1,14.2,0,49.6,12.9705,79.14996
20,00:20,65.3,97.3,32.86,25.6,60.1,23.0,18.5,0.071,Light,63.6,13.7,3,48.1,12.97058,79.15001
25,00:25,65.0,98.1,32.89,25.6,59.4,22.4,21.5,0.062,Deep,75.9,14.3,5,46.6,12.9706,79.15002
30,00:30,65.5,96.4,32.95,27.4,62.8,24.0,22.7,0.066,Deep,73.6,12.6,3,42.5,12.97055,79.15001
35,00:35,63.5,97.5,32.67,25.5,65.0,22.4,20.9,0.054,Deep,71.9,13.1,2,45.0,12.97042,79.14995
40,00:40,67.4,98.7,33.09,25.9,59.0,22.6,23.0,0.073,Deep,73.1,14.8,5,45.1,12.97054,79.14996
45,00:45,65.7,98.1,32.86,25.6,58.8,22.6,23.0,0.077,Deep,75.2,13.3,5,49.7,12.97043,79.15001
50,00:50,65.0,96.6,32.62,26.1,57.1,23.2,24.8,0.073,Deep,75.0,13.9,6,42.2,12.97047,79.14995
55,00:55,63.4,97.5,32.96,26.0,57.5,23.1,22.5,0.053,Deep,72.3,12.7,0,43.4,12.97044,79.15005
60,01:00,67.8,97.8,32.84,25.7,65.0,22.7,22.5,0.062,Light,64.0,13.9,1,42.9,12.97055,79.14999
65,01:05,70.0,96.7,32.99,26.0,60.6,23.0,27.5,0.062,Light,59.5,13.5,0,45.2,12.97045,79.15001
70,01:10,70.0,97.8,32.85,26.1,60.4,22.8,21.4,0.06,Light,60.5,13.6,2,44.3,12.97052,79.14998
75,01:15,67.5,98.4,32.78,25.9,62.5,23.2,22.2,0.051,REM,68.6,13.7,7,42.1,12.97049,79.14973
80,01:20,65.0,97.6,33.0,27.1,62.7,23.7,20.9,0.083,REM,65.9,14.4,0,44.6,12.97038,79.14992
85,01:25,59.2,96.9,32.62,25.8,61.9,22.5,23.9,0.056,REM,60.2,13.2,0,42.0,12.97052,79.15007
90,01:30,61.2,97.7,32.63,25.1,62.5,22.3,24.1,0.061,Light,55.5,13.6,0,45.2,12.97059,79.14993
95,01:35,69.2,96.4,33.07,25.9,59.9,23.1,20.4,0.053,Light,60.2,13.6,0,43.0,12.97048,79.15002
100,01:40,64.7,97.3,32.75,25.0,60.7,22.8,16.0,0.066,Light,66.3,14.1,0,41.9,12.97043,79.15
105,01:45,63.0,96.9,32.67,26.3,61.4,23.2,21.3,0.067,Light,63.5,13.9,2,45.7,12.97055,79.14989
110,01:50,73.3,96.6,32.78,26.0,60.0,23.3,18.5,0.087,Light,62.4,13.8,0,40.0,12.97047,79.14997
115,01:55,64.2,98.0,32.79,26.4,66.3,23.3,23.4,0.054,Deep,77.6,13.8,0,43.7,12.97051,79.14992
120,02:00,69.3,98.5,32.59,25.7,64.0,22.7,28.5,0.073,Deep,71.6,13.8,4,44.1,12.97049,79.14995
125,02:05,69.6,97.7,32.72,25.7,59.3,22.7,31.7,0.083,Deep,74.4,14.0,0,49.0,12.9705,79.15003
130,02:10,64.8,97.7,32.74,24.9,59.5,22.2,28.3,0.054,Deep,76.7,13.5,5,44.9,12.97057,79.14993
135,02:15,68.0,97.9,32.74,25.9,59.7,22.7,26.6,0.056,Deep,76.1,14.2,0,41.3,12.97048,79.15002
140,02:20,63.4,97.1,32.95,26.3,58.8,23.7,27.8,0.062,Deep,77.4,12.7,0,44.8,12.97056,79.14995
145,02:25,72.1,98.3,32.93,27.3,62.8,23.3,18.9,0.074,Deep,67.0,14.1,0,45.6,12.97064,79.15001
150,02:30,68.1,95.8,33.43,26.3,56.9,23.5,21.3,0.066,Light,63.6,13.6,7,44.4,12.97054,79.15001
155,02:35,65.7,97.2,32.99,26.4,58.5,23.4,26.8,0.057,Light,65.9,14.4,1,45.1,12.97053,79.15011
160,02:40,67.5,97.0,32.69,24.5,63.6,22.1,25.8,0.065,Light,67.0,13.3,1,45.4,12.97044,79.15002
165,02:45,64.9,98.0,33.03,25.3,63.1,22.8,19.7,0.066,REM,66.6,14.0,0,43.7,12.97037,79.14992
170,02:50,61.4,97.1,32.82,25.8,60.1,22.6,24.8,0.061,REM,60.7,14.8,4,46.4,12.97048,79.14998
175,02:55,66.1,97.1,33.11,26.3,60.2,23.3,21.3,0.053,REM,68.0,13.1,0,48.7,12.9705,79.14996
180,03:00,66.3,97.6,32.94,25.5,62.2,22.7,26.6,0.063,Light,61.1,13.8,4,40.0,12.97057,79.14997
185,03:05,67.0,98.5,32.69,25.6,63.5,22.4,25.5,0.07,Light,62.6,13.4,3,48.9,12.97046,79.14995
190,03:10,69.4,97.5,32.78,26.1,59.1,23.0,26.4,0.078,Light,56.9,15.2,0,43.4,12.97055,79.15014
195,03:15,65.8,98.1,32.63,25.9,61.1,23.3,25.1,0.054,Light,67.9,13.0,7,39.3,12.97046,79.1499
200,03:20,64.0,98.2,32.67,26.0,62.1,22.8,21.7,0.062,Light,63.1,13.4,5,44.6,12.97055,79.14994
205,03:25,64.9,98.5,32.82,25.9,63.8,22.5,22.9,0.063,Deep,71.4,13.7,6,46.5,12.97052,79.15014
210,03:30,65.1,97.4,33.0,25.6,61.7,22.6,28.7,0.054,Deep,72.2,14.2,0,44.9,12.97044,79.15003
215,03:35,70.2,97.4,32.85,25.7,63.0,22.7,18.1,0.089,Deep,70.5,14.9,0,41.4,12.97057,79.14997
220,03:40,67.6,98.0,32.84,26.5,62.7,23.5,25.4,0.058,Deep,76.4,13.8,0,39.3,12.97056,79.15006
225,03:45,67.5,97.7,32.87,26.2,61.7,22.8,24.7,0.075,Deep,70.2,13.8,7,41.3,12.97053,79.15003
230,03:50,65.0,96.7,32.69,25.9,60.1,23.0,28.5,0.062,Deep,73.7,13.8,0,47.6,12.97055,79.15012
235,03:55,69.2,97.1,32.91,25.7,58.5,22.6,27.7,0.092,Deep,67.5,13.1,0,45.7,12.97048,79.15003
240,04:00,65.6,97.2,32.91,26.0,60.3,22.5,28.7,0.059,Light,63.3,13.3,3,43.0,12.97051,79.15008
245,04:05,62.8,97.8,32.61,25.9,61.2,22.8,26.4,0.061,Light,61.3,14.5,0,42.0,12.97048,79.14991
250,04:10,64.3,98.2,33.05,26.2,59.9,23.0,28.8,0.055,Light,67.1,13.6,6,45.2,12.97052,79.15003
255,04:15,66.8,97.2,32.89,26.4,64.0,23.0,28.0,0.069,REM,68.5,13.2,0,44.3,12.97052,79.14991
260,04:20,65.5,98.4,33.01,26.0,59.9,23.3,31.2,0.062,REM,70.5,13.1,3,43.1,12.97042,79.14997
265,04:25,66.0,98.2,32.89,26.2,61.4,23.0,33.2,0.054,REM,67.5,12.3,0,46.4,12.97045,79.15009
270,04:30,65.3,98.3,32.72,25.7,62.0,22.9,26.3,0.057,Light,59.9,12.0,5,43.6,12.97048,79.14999
275,04:35,66.0,97.2,32.56,26.0,60.1,22.6,30.1,0.052,Light,58.3,14.3,0,46.2,12.97056,79.15014
280,04:40,63.5,97.5,32.82,26.7,58.7,23.5,20.6,0.063,Light,55.1,14.3,0,46.9,12.97051,79.15002
285,04:45,65.9,97.1,32.67,26.0,61.6,23.0,32.4,0.079,Light,62.4,14.6,3,43.5,12.97053,79.14999
290,04:50,62.8,97.3,32.88,26.5,59.9,23.3,19.3,0.069,Light,60.6,13.5,3,44.7,12.97046,79.14996
295,04:55,70.2,98.5,32.63,25.6,64.8,22.7,27.2,0.067,Deep,75.7,14.6,1,44.2,12.97059,79.15003
300,05:00,64.9,96.7,32.83,25.0,60.5,22.4,29.2,0.072,Deep,75.7,13.5,0,48.4,12.97052,79.15
305,05:05,75.6,97.8,32.88,25.3,60.7,22.6,27.5,0.081,Deep,69.3,13.3,0,39.0,12.97058,79.14994
310,05:10,65.8,98.4,32.78,26.5,63.8,23.1,22.3,0.054,Deep,72.6,13.6,0,41.4,12.97046,79.14996
315,05:15,71.1,97.3,32.77,26.2,61.1,22.8,27.0,0.068,Deep,71.7,14.2,0,43.7,12.97053,79.15008
320,05:20,63.8,98.8,32.98,26.2,62.4,23.1,28.0,0.052,Deep,71.0,13.5,1,44.8,12.97054,79.14999
325,05:25,67.1,96.1,32.94,26.6,61.5,23.4,27.5,0.054,Deep,68.3,14.2,1,46.1,12.97047,79.15008
330,05:30,64.6,97.3,33.05,26.8,60.1,23.3,32.0,0.072,Light,64.7,14.8,0,41.8,12.97051,79.15004
335,05:35,67.9,98.2,32.87,26.3,60.7,23.5,27.8,0.081,Light,63.0,13.0,8,47.4,12.97045,79.14992
340,05:40,66.2,96.8,33.04,26.1,59.4,23.0,20.3,0.063,Light,64.2,14.1,7,45.6,12.97047,79.1499
345,05:45,64.2,97.8,32.63,26.5,60.7,23.4,33.1,0.05,REM,65.8,13.3,9,45.7,12.97046,79.14997
350,05:50,67.2,97.5,32.69,26.9,58.8,23.2,37.5,0.066,REM,59.7,13.7,4,45.4,12.97047,79.14996
